ensembl_gene_id
ENSG00000129167
ENSG00000132437
ENSG00000178394
ENSG00000135312
ENSG00000179546
ENSG00000102468
ENSG00000135914
ENSG00000147246
ENSG00000166736
ENSG00000149305
ENSG00000178084
ENSG00000186090
ENSG00000164270
ENSG00000157219
ENSG00000158748
ENSG00000148680
ENSG00000189221
ENSG00000036565
ENSG00000165646
ENSG00000108576
ENSG00000164638
